p,T4T,G,AC,AD,Total
0.0,30250,30250,27750,29875,118125
2.0,31460,31460,25530,29875,118325
4.0,35090,30250,23310,29875,118525
6.0,36300,31460,21090,29875,118725
8.0,32670,37510,18870,29875,118925
10.0,33880,38720,16650,29875,119125
12.0,38720,36300,14430,29875,119325
14.000000000000002,37510,39930,12210,29875,119525
16.0,42350,37510,9990,29875,119725
18.0,43560,38720,7770,29875,119925
20.0,39930,44770,5550,29875,120125
22.0,44770,42350,3330,29875,120325
24.0,43560,45980,1110,29875,120525
26.0,45980,45980,0,28680,120640
28.000000000000004,49610,44770,0,26290,120670
30.0,44770,52030,0,23900,120700
32.0,50820,48400,0,21510,120730
34.0,49610,52030,0,19120,120760
36.0,50820,53240,0,16730,120790
38.0,52030,54450,0,14340,120820
