Gen,T4T,G,AC,AD
1,1474.0,0.0,1470.0,2459.0
2,1463.0,0.0,1455.0,2423.0
3,1441.0,0.0,1425.0,2351.0
4,1397.0,0.0,1365.0,2255.0
5,1342.0,0.0,1290.0,2155.0
6,1287.0,0.0,1215.0,2055.0
7,1232.0,0.0,1140.0,1955.0
8,1177.0,0.0,1065.0,1855.0
9,1122.0,0.0,990.0,1755.0
10,1067.0,0.0,915.0,1655.0
11,1012.0,0.0,840.0,1555.0
12,957.0,0.0,765.0,1455.0
13,902.0,0.0,690.0,1355.0
14,847.0,0.0,615.0,1255.0
15,792.0,0.0,540.0,1155.0
16,737.0,0.0,465.0,1055.0
17,682.0,0.0,390.0,955.0
18,627.0,0.0,315.0,855.0
19,572.0,0.0,240.0,755.0
20,517.0,0.0,165.0,655.0
