Gen,T4T,G,AC,AD
1,2948,0,141120,4918,148986
2,5852,0,133860,9692,149404
3,7205,0,123975,18808,149988
4,6985,0,111930,29315,148230
5,6710,0,99330,38790,144830
6,6435,0,87480,47265,141180
7,6160,0,76380,54740,137280
8,5885,0,66030,61215,133130
9,5610,0,56430,66690,128730
10,5335,0,47580,71165,124080
11,5060,0,39480,74640,119180
12,4785,0,32130,77115,114030
13,4510,0,25530,78590,108630
14,4235,0,19680,79065,102980
15,3960,0,14580,78540,97080
16,3685,0,10230,77015,90930
17,3410,0,6630,74490,84530
18,3135,0,3780,70965,77880
19,2860,0,1680,66440,70980
20,2585,0,330,60915,63830
