Gen,T4T,G,AC,AD
1,1210.0,1210.0,1110.0,1195.0
2,1210.0,1210.0,1110.0,1115.0
3,1210.0,1210.0,1110.0,1035.0
4,1265.0,1265.0,1185.0,1055.0
5,1320.0,1320.0,1260.0,1075.0
6,1375.0,1375.0,1335.0,1095.0
7,1430.0,1430.0,1410.0,0.0
8,1485.0,1485.0,1485.0,0.0
9,1485.0,1485.0,1485.0,0.0
10,1485.0,1485.0,1485.0,0.0
11,1485.0,1485.0,1485.0,0.0
12,1485.0,1485.0,1485.0,0.0
13,1485.0,1485.0,1485.0,0.0
14,1485.0,1485.0,1485.0,0.0
15,1485.0,1485.0,1485.0,0.0
16,1485.0,1485.0,1485.0,0.0
17,1485.0,1485.0,1485.0,0.0
18,1485.0,1485.0,1485.0,0.0
19,1485.0,1485.0,1485.0,0.0
20,1485.0,1485.0,1485.0,0.0
