Gen,T4T,G,AC,AD
1,33880,32670,22200,29875,118625
2,36300,36300,16650,27875,117125
3,38720,39930,16650,20700,116000
4,45540,43010,17775,15825,122150
5,52800,46200,18900,10750,128650
6,57750,52250,20025,5475,135500
7,64350,57200,21150,0,142700
8,69795,56430,22275,0,148500
9,69795,53460,25245,0,148500
10,69795,56430,22275,0,148500
11,69795,56430,22275,0,148500
12,72765,54945,20790,0,148500
13,72765,54945,20790,0,148500
14,69795,56430,22275,0,148500
15,69795,57915,20790,0,148500
16,66825,57915,23760,0,148500
17,65340,59400,23760,0,148500
18,62370,65340,20790,0,148500
19,62370,66825,19305,0,148500
20,59400,71280,17820,0,148500
