Gen,T4T,G,AC,AD
1,38148,0,27720,49058,114926
2,36278,0,21045,51213,108536
3,34408,0,15120,52368,101896
4,32538,0,9945,52523,95006
5,35178,0,5520,47223,87921
6,39688,0,2070,42983,84741
7,44198,0,0,37281,81479
8,49896,0,0,31786,81682
9,57761,0,0,29151,86912
10,66176,0,0,26316,92492
11,75141,0,0,23281,98422
12,84656,0,0,20046,104702
13,94721,0,0,16611,111332
14,105336,0,0,12976,118312
15,116501,0,0,9141,125642
16,128216,0,0,5106,133322
17,140481,0,0,871,141352
18,147400,0,0,0,147400
19,148500,0,0,0,148500
20,148500,0,0,0,148500
