Gen,T4T,G,AC,AD
1,1133,38522,28140,47915,115710
2,1078,36652,21390,50190,109310
3,1023,34782,15390,51465,102660
4,968,32912,10140,51740,95760
5,913,35607,5640,46540,88700
6,913,40172,2115,42380,85580
7,913,44737,0,36750,82400
8,935,50490,0,31275,82700
9,990,58410,0,28600,88000
10,1045,66880,0,25725,93650
11,1100,75900,0,22650,99650
12,1155,85470,0,19375,106000
13,1210,95590,0,15900,112700
14,1265,106260,0,12225,119750
15,1320,117480,0,8350,127150
16,1375,129250,0,4275,134900
17,1430,141570,0,0,143000
18,1485,147015,0,0,148500
19,1485,147015,0,0,148500
20,1485,147015,0,0,148500
